,message,answers
24,"I used to love this service, but lately the food quality has gone way down.;","
The food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you're aware of this, but the food quality has gone way down.
I'm not sure if you"
25,"I ordered a burger with no pickles, and guess what? It's covered in pickles!","
The burger is a great example of how to use the pickle to make a great burger. The pickles are a great way to add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger, and the pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger.
The pickles add a little bit of crunch to the burger.
The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch to the burger. The pickles add a little bit of crunch"
26,There's no way to leave specific instructions for the restaurant through the app.;,"
The restaurant is located at 1111 11th Street, San Francisco, CA 94103.
The restaurant is open from 11:00am to 11:00pm.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends.
The restaurant is open from 11:00am to 11:00pm on weekdays and 11:00am to 11:00pm on weekends."
27,This delivery service never seems to have any good deals or coupons available.;,"
The delivery service is very good at their job, and I have been using them for years. I have never had a problem with them.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very prompt and courteous.
I have been using this service for years and have never had a problem with them. They have always been very"
28,I can't believe they canceled my order without even notifying me first!;,"
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post this, but I'm not sure if I'm allowed to post this.
I'm not sure if I'm allowed to post"
29,"The food description on the app sounds amazing, but it tastes completely different.;","
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app is available on the App Store and Google Play.
The app"
30,"The app keeps prompting me to rate the driver before my food even arrives, weird.;","
The app keeps prompting me to rate the driver before my food even arrives, weird.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not sure if this is a bug or a feature request, but I'm not sure how to get the app to stop showing the rating.
I'm not"
31,They keep asking me to tip the driver before the delivery is even complete.;,"
The driver is a 20-year-old man from the Philippines. He is a driver for a company called ""Pinoy Trucking"" and he is a very good driver. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is very good at his job. He is"
32,I never seem to get enough delivery drivers in my area on weekends.;,"
The driver is a 20-year-old man from the Bronx, NY. He is a driver for a company called ""Delivery Dogs NYC."" He is a very nice guy, and I have been very impressed with him. He is very friendly and helpful. He is a very good driver. He is very patient and very helpful. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the area and the area he is driving in. He is very knowledgeable about the"
33,There's no way to split the bill with friends when ordering through the app.;,"
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car.
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car.
The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a provision that would allow the state to require a driver's license or ID card to be worn on the front of the car. The bill also includes a"
34,The 'customer support chat' feature is useless. It takes forever to get a response.;,"
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to get a response.
The 'customer support chat' feature is useless. It takes forever to"
35,I'm tired of getting spam emails and notifications from this delivery service.;,"
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired of getting spam emails and notifications from this delivery service.
I'm tired"
36,"The app keeps asking me to update my payment information, even though it's correct.;","
The app keeps asking me to update my payment information, even though it's correct.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update my payment information, but it keeps asking me to update my payment information.
I've tried to update"
37,They never seem to have my favorite drinks in stock at the restaurants they offer.;,"
Their drinks are always good, but I'm not sure I've ever had a good one. I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had a few good ones, but I've never had a good one that was good enough to be a regular.
I've had"
38,"The delivery fee is more expensive than the actual cost of my food, come on!;","
The delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this, but the delivery fee is more expensive than the actual cost of my food, come on!
I'm not sure if you're aware of this,"
39,I can't believe they charge extra for contactless delivery during a pandemic.;,"
The company has also been working on a new way to deliver food to customers, which is called ""Food Delivery in a Box."" The company is working with a delivery service called ""Food Delivery in a Box"" to deliver food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery in a Box"" because it is a delivery service that delivers food to customers. The delivery service is called ""Food Delivery"
40,The app keeps logging me out for no reason. It's so frustrating!;,"
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the same credentials that I used to log in to the app.
I'm not sure if this is a bug or a feature request, but I'm not able to log in to the app anymore. I'm using the"
41,"There's no way to filter restaurants by cuisine on this app, makes it hard to choose.;","
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free.
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free.
The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app, and it's not free. The app is free to download and use, but it's not a free app. It's a paid app"
42,I never seem to get enough delivery drivers in my area late at night.;,"
The driver is a 20-year-old man from the Bronx, NY. He is a driver for a company called ""Delivery Dogs."" He is a very nice guy, but he is also very rude to the drivers. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude to the drivers' families. He is also very rude"
43,The 'estimated delivery time' feature is always wildly inaccurate.;,"
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly inaccurate.
The 'estimated delivery time' feature is always wildly in"
44,This app is constantly glitching and crashing. Needs a major update!;,"
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of being tested by a few people. It is not yet ready for general release.
The app is currently in beta and is currently in the process of"
45,The food arrived completely undercooked! This is a health hazard!;,"
The food was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all. It was not cooked at all"
46,"I specifically requested extra sauce, and they completely forgot it.;","
The only thing I'm really upset about is that I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be upset about it. I'm not sure if I'm supposed to be"
47,There's no way to leave a review for the restaurant through the app.;,"
The restaurant is located at 1111 11th Street, San Francisco, CA 94103.
The restaurant is open from 11:00am to 11:00pm.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
The restaurant is open for dinner.
The restaurant is open for lunch.
The restaurant is open for breakfast.
"
